id,artist,album,title,recording_condition,midi_filepath,mp3_filepath,youtube_url,duration_sec,performance_start_sec,performance_end_sec,split,acoust_id,mb_album_id,mb_artist_id,mb_track_id,mb_recording_id,agreement,discogs_idx
879,Duke Jordan,One For The Library,No Problem,studio,data/midi/studio/Duke Jordan/One For The Library/No Problem.midi,data/audio/studio/Duke Jordan/One For The Library/No Problem.mp3,https://www.youtube.com/watch?v=QkY0w3h18Ng,215.952,0,216,train,,,,,,0.8981793661496966,23
1989,Dave McKenna,Dave Fingers McKenna,Curse Of An Aching Heart,studio,data/midi/studio/Dave McKenna/Dave Fingers McKenna/Curse Of An Aching Heart.midi,data/audio/studio/Dave McKenna/Dave Fingers McKenna/Curse Of An Aching Heart.mp3,https://www.youtube.com/watch?v=SC96eEesYRo,238.272,0,238,val,,c00dae75-1840-46fd-95bc-1929a6206141,a048dfa0-5ce1-40ca-bcdf-56f9d56b32ae,ebfe3448-ada0-47f0-9054-0f878302416c,46b097b8-3979-411f-9f0e-ad5f83d168f7,0.8586212144270279,12
889,Gerald Clayton,Bells On Sand,My Ideal 2,studio,data/midi/studio/Gerald Clayton/Bells On Sand/My Ideal 2.midi,data/audio/studio/Gerald Clayton/Bells On Sand/My Ideal 2.mp3,https://www.youtube.com/watch?v=kb47y2BcKUI,325.776,0,325,train,ee254789-f9a8-4990-b805-9d3e4e0da126,fc01b77f-b4be-44ed-8f71-074144c518b6,795071f0-f110-41c8-aaee-f5ea7f460a4d,be1ca6b0-9a1d-45c3-88f2-d90fa9c47813,eef7f083-1b64-4d1c-8a9a-2dcb075c33f2,0.9006298110566829,166
912,Thelonious Monk,Solo Monk,Ask Me Now (Take 1),studio,data/midi/studio/Thelonious Monk/Solo Monk/Ask Me Now (Take 1).midi,data/audio/studio/Thelonious Monk/Solo Monk/Ask Me Now (Take 1).mp3,https://www.youtube.com/watch?v=L5vs144Kg3E,223.536,0,223,train,706361d1-64f5-475f-8c44-8bbb55db9f91,d1d427b3-76c8-406e-b555-ca86979df81f,8e8c7417-c905-46b1-b42a-5260b4274ed4,194b7c11-44a0-4211-bd8b-222209d3743c,5366872c-9210-4160-8c8e-bad41b33ad24,0.848380427291523,157
1596,Dick Hyman,Dick Hyman Plays Variations on Richard Rodgers -  Rodgers & Hart,Little Girl Blue,studio,data/midi/studio/Dick Hyman/Dick Hyman Plays Variations on Richard Rodgers -  Rodgers & Hart/Little Girl Blue.midi,data/audio/studio/Dick Hyman/Dick Hyman Plays Variations on Richard Rodgers -  Rodgers & Hart/Little Girl Blue.mp3,https://www.youtube.com/watch?v=-O7T9JdFIDI,288.288,0,288,test,e36df178-2326-4a82-a47a-e8f5c268b838,1ebff91a-54b7-4a2f-80e8-dc5d463a4464,dab1ad75-3ea3-4071-91c4-7a66475599d4,eb3986b9-c380-4dee-ae8b-a20ac38dcd65,6b1db819-4bce-4212-ad6c-13d1bb0b951d,0.9385171790235082,206
761,Dick Hyman,In Recital (Live),Music in the Air -  The Song Is You,studio,data/midi/studio/Dick Hyman/In Recital (Live)/Music in the Air -  The Song Is You.midi,data/audio/studio/Dick Hyman/In Recital (Live)/Music in the Air -  The Song Is You.mp3,https://www.youtube.com/watch?v=sBOJQVjCLgY,322.56,0,322,train,2940024f-5537-47f4-b28d-273f22465c29,2dbc2fd1-36b0-4bac-ab40-d45d8c54dafa,dab1ad75-3ea3-4071-91c4-7a66475599d4,b7cb86e4-2631-3834-bce3-3a1ee3abce99,6cd0a6ee-ba70-4a93-99e9-202b3ceaac36,0.8881572576740583,240
930,Dick Hyman,Century Of Jazz Piano 5cd+dvd,Moanin',studio,data/midi/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Moanin'.midi,data/audio/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Moanin'.mp3,https://www.youtube.com/watch?v=qCUjB-1QXwo,301.344,0,301,train,,,,,,0.8950975224037954,121
1501,Geri Allen,Home Grown,Round Midnight,studio,data/midi/studio/Geri Allen/Home Grown/Round Midnight.midi,data/audio/studio/Geri Allen/Home Grown/Round Midnight.mp3,https://www.youtube.com/watch?v=XvAQx6MDPss,374.04,0,374,train,25bd786d-46e6-466c-9620-9c2032883745,78d632f8-790c-4609-a26a-86af6fd9f484,4d688d75-12e3-481d-bd0d-e4b0cf6cd719,b9ec85f3-7419-457a-ad36-74ee70853579,27a11306-844c-4288-80e6-2f1a713d5c1d,0.9596996245306632,78
1187,John Hicks,Hicks Time,Two Heart Beats,studio,data/midi/studio/John Hicks/Hicks Time/Two Heart Beats.midi,data/audio/studio/John Hicks/Hicks Time/Two Heart Beats.mp3,https://www.youtube.com/watch?v=u_OU0KCfaOs,327.12,0,327,train,2c9eda00-3a3d-4866-b9e7-ac9a1c0a7a88,cd2ecda8-fb5f-4429-90f2-2777da54ce72,8b7b131b-4917-4401-a5a7-840fffd4361c,a235999c-aeaa-4ff9-a0a2-857bb18e9020,7bc2df48-9939-440d-80c2-c9dfe9695c2d,0.8967075532601677,253
1001,Eric Reed,Mercy and Grace,Just as I Am  Have Thine Own Way  Trust and Obey  Near the Cross  What a Friend We Have in Jesus,studio,data/midi/studio/Eric Reed/Mercy and Grace/Just as I Am  Have Thine Own Way  Trust and Obey  Near the Cross  What a Friend We Have in Jesus.midi,data/audio/studio/Eric Reed/Mercy and Grace/Just as I Am  Have Thine Own Way  Trust and Obey  Near the Cross  What a Friend We Have in Jesus.mp3,https://www.youtube.com/watch?v=TQarRET_CG0,304.032,0,304,train,,,,,,0.8769536800227337,103
